Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT201,Battery_Cell,BatteryHolder_Keystone_1128_1xCR123A_lifted,136.8,-98.7,90,top
C201,22uF 6.3V,C_0603_1608Metric,119.9,-119.8,0,top
C202,22uF 6.3V,C_0603_1608Metric,119.9,-121.5,0,top
C203,22uF 6.3V,C_0603_1608Metric,122.3,-76.2,-90,top
C204,0.1uF 50V,C_0402_1005Metric,122.32,-73.8,0,top
C205,0.1uF 50V,C_0402_1005Metric,124.2,-68.6,180,top
C206,0.1uF 50V,C_0402_1005Metric,119.4,-116.3,-90,top
C207,22uF 6.3V,C_0603_1608Metric,124.9,-67.2,180,top
C208,22uF 6.3V,C_0603_1608Metric,120.7,-116.6,-90,top
C209,22uF 6.3V,C_0603_1608Metric,123.1,-115.6,0,top
C301,12pF 50V,C_0402_1005Metric,140.5,-122.1,180,top
C302,12pF 50V,C_0402_1005Metric,138.3,-122.1,0,top
C303,22uF 6.3V,C_0603_1608Metric,124.125,-89.2,0,top
C304,0.1uF 50V,C_0402_1005Metric,125.6,-92.5,90,top
C305,0.1uF 50V,C_0402_1005Metric,138.2,-75.5,90,top
C306,0.1uF 50V,C_0402_1005Metric,135.4,-75.5,-90,top
C401,0.1uF 50V,C_0402_1005Metric,114.8,-85.8,-60,top
C402,0.1uF 50V,C_0402_1005Metric,123,-106.6,0,top
C403,1000pF 50V,C_0402_1005Metric,132.1,-118.9,90,top
C404,0.1uF 50V,C_0402_1005Metric,112.4,-118.9,0,top
C405,22uF 6.3V,C_0603_1608Metric,152.3,-116.9,90,top
C406,0.1uF 50V,C_0402_1005Metric,134.4,-126,-90,top
C407,0.1uF 50V,C_0402_1005Metric,135.2,-70.6,0,top
C408,0.1uF 50V,C_0402_1005Metric,140.6,-126.1,-90,top
C409,0.1uF 50V,C_0402_1005Metric,147.3,-70.6,180,top
C410,0.1uF 50V,C_0402_1005Metric,155,-122.5,-90,top
C411,0.1uF 50V,C_0402_1005Metric,155.5,-114.7,0,top
C412,0.1uF 50V,C_0402_1005Metric,158.8,-85.8,60,top
C501,22uF 6.3V,C_0603_1608Metric,147.8,-113.8,-90,top
C502,22uF 6.3V,C_0603_1608Metric,125.7,-111.3,90,top
C503,0.1uF 50V,C_0402_1005Metric,149.3,-113.3,-90,top
C504,0.1uF 50V,C_0402_1005Metric,124.3,-111.9,90,top
C601,0.1uF 50V,C_0402_1005Metric,131.9,-65.5,180,top
C602,22uF 6.3V,C_0603_1608Metric,148.825,-68.7,0,top
C603,0.1uF 50V,C_0402_1005Metric,145.18,-67.3,0,top
C604,22uF 6.3V,C_0603_1608Metric,143.3,-66.325,-90,top
C605,1uF 25V,C_0402_1005Metric,147.8,-107.5,-90,top
C606,1uF 25V,C_0402_1005Metric,124.9,-85.88,90,top
D201,D_Schottky,D_SOD-323,122.7,-118.2,90,top
D202,D_Schottky,D_SOD-323,122.7,-121.8,-90,top
D401,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.4,-85.4,-60,top
D402,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.6,-109,-110,top
D403,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114.2,-122.4,0,top
D404,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.7,-127.2,0,top
D406,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,145.9,-127.2,0,top
D408,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,159.4,-122.4,0,top
D409,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156,-109,110,top
D410,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.2,-85.4,60,top
D601,SRV05-4,SOT-23-6,136.8,-67.2,-90,top
IC201,MAX17227AATA+T,TDFN-8-EP_2.0x2.0x0.80_P0.5mm,117.55,-116.5,-90,top
IC202,AP2138N-3.3TRG1,SOT-23-3_DiodesINC,123.9,-71.2,180,top
IC501,MAX98361AEWL+,BGA9C40P3X3_144X135X69,151.5,-112.7,90,top
IC502,MAX98361AEWL+,BGA9C40P3X3_144X135X69,122.1,-112.7,-90,top
J601,USB4110-GF-A,USB4110-GF-A,136.8,-59.3,180,top
L201,1uH 3.1A 2016,L_0806_2016Metric,115.1,-118.1,90,top
LS501,AS01508MS-SP11-WP-R,AS01508MS-SP11-WP-R,155.4,-94,-30,top
LS502,AS01508MS-SP11-WP-R,AS01508MS-SP11-WP-R,118.2,-94,30,top
Q301,Q_PNP_BEC,SOT-23,139.7,-78.7,-90,top
Q302,Q_PNP_BEC,SOT-23,133.9,-78.7,-90,top
Q401,FET_Dual_NMOS_PMOS_G1S2G2D2S1D1,TSOT-23-6,134.4,-120,-90,top
Q601,PUMH9,SOT-363_SC-70-6,125.2,-62.8,180,top
R201,0 0402,R_0402_1005Metric,120.3,-122.9,180,top
R202,0 0402,R_0402_1005Metric,120.9,-79.3,90,top
R203,80.6k 0402,R_0402_1005Metric,117.3,-118.8,0,top
R204,0 0402,R_0402_1005Metric,126.1,-65.31,90,top
R301,1M 0402,R_0402_1005Metric,139.7,-118.2,0,top
R302,47 1%,R_0402_1005Metric,125,-104.6,180,top
R303,47 1%,R_0402_1005Metric,148.3,-104.4,180,top
R304,47 1%,R_0402_1005Metric,148.3,-103.1,180,top
R305,47 1%,R_0402_1005Metric,148.3,-91.9,180,top
R306,0 0402,R_0402_1005Metric,137.9,-117.8,90,top
